SurgeWatch Version 2.0 ,,,,,
02-Feb-17,,,,,
,,,,,
This file contains peak water levels for each category 3 event and higher,,,,,
,,,,,
Tide gauge site,Date and time, Offset return period (years), Water Level (mCD), Astronomical Tide (m), Skew Surge (m)
Weymouth,03/02/2014 09:15,5,2.86,2.45,0.41
Hinkley Point,03/02/2014 09:15,3,13.13,12.59,0.54
Fishguard,03/02/2014 09:30,16,5.8,5.14,0.66
Barmouth,03/02/2014 10:30,4,6.13,5.49,0.63
Holyhead,03/02/2014 12:30,5,6.61,6.12,0.48
Llandudno,03/02/2014 13:00,4,8.74,8.29,0.45
Liverpool,03/02/2014 13:30,1,10.5,10.03,0.47
Heysham,03/02/2014 13:30,1,10.81,10.33,0.48
Port Erin ,03/02/2014 13:30,5,6.35,5.78,0.57
Portsmouth,03/02/2014 13:45,<1,5.18,4.72,0.46
Workington,03/02/2014 13:45,4,9.53,8.95,0.58
Portpatrick,03/02/2014 13:45,8,4.89,4.4,0.49
Millport,03/02/2014 14:30,3,4.45,3.78,0.66
St. Mary's,04/02/2014 07:45,<1,5.96,5.7,0.26
Ullapool,13/02/2014 06:30,<1,5.26,4.77,0.5
Kinlochbervie,13/02/2014 06:45,<1,4.97,4.5,0.46
Newlyn,14/02/2014 16:45,<1,6.08,5.26,0.82
Devonport,14/02/2014 17:45,2,6.22,5.3,0.92
Ilfracombe,14/02/2014 18:00,<1,9.62,8.82,0.8
Mumbles,14/02/2014 18:00,<1,9.93,9.06,0.87
Milford Haven,14/02/2014 18:00,<1,7.59,6.46,1.13
Hinkley Point,14/02/2014 18:45,<1,12.07,11.33,0.73
Newport,14/02/2014 19:00,<1,12.56,11.33,1.23
Fishguard,14/02/2014 19:30,<1,5.29,4.21,1.09
Weymouth,14/02/2014 19:45,11,2.93,1.99,0.94
Barmouth,14/02/2014 20:15,<1,5.54,4.62,0.92
Holyhead,14/02/2014 22:30,<1,6.04,5.32,0.72
Llandudno,14/02/2014 22:45,<1,7.9,7.2,0.7
Portsmouth,14/02/2014 23:00,9,5.54,4.34,1.2
Port Erin ,14/02/2014 23:15,<1,5.75,4.98,0.76
Newhaven,14/02/2014 23:30,<1,7.12,6.45,0.67
Workington,14/02/2014 23:30,<1,8.56,7.79,0.77
Portpatrick,14/02/2014 23:30,<1,4.37,3.72,0.64
Wick,14/02/2014 23:30,<1,3.56,3.21,0.35
Millport,15/02/2014 00:30,<1,3.78,3.21,0.58
Tobermory,15/02/2014 06:15,<1,4.71,4.43,0.27
Stornoway,15/02/2014 07:15,<1,4.91,4.77,0.13
Lerwick,15/02/2014 11:15,<1,2.35,2.12,0.23
Liverpool,15/02/2014 11:30,<1,9.8,9.15,0.65
Heysham,15/02/2014 11:30,<1,9.9,9.27,0.63
Aberdeen,15/02/2014 13:45,<1,4.43,4.15,0.28
Leith,15/02/2014 15:00,<1,5.69,5.36,0.33
North Shields,15/02/2014 15:45,<1,5.15,4.93,0.22
Whitby,15/02/2014 16:30,<1,5.69,5.48,0.21
Immingham,15/02/2014 18:45,<1,7.04,6.91,0.13
Lowestoft,15/02/2014 22:30,<1,2.79,2.47,0.32
St. Mary's,16/02/2014 05:30,<1,5.64,5.33,0.31
