NUTS level,NUTS code,Region name,Transaction code,Transaction,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NUTS3,UKI31,Camden and City of London,D.61/D.62,Imputed social contributions/Social benefits received,2958,3024,2988,3172,3247,3529,3539,3697,3842,3981,4046,4326,4698,4700,4626,4822,4765,4646,4524,4524,4508,4357
NUTS3,UKI31,Camden and City of London,D.7,"Other current transfers, received",350,458,428,495,418,412,346,378,379,343,445,391,392,515,501,506,539,549,470,470,438,447
NUTS3,UKI31,Camden and City of London,NA,Secondary resources total,3308,3482,3417,3667,3665,3941,3886,4076,4220,4324,4491,4717,5090,5214,5127,5327,5304,5194,4994,4994,4946,4804
NUTS3,UKI31,Camden and City of London,D.5,"Current taxes on income, wealth etc",453,1118,2040,3319,3427,3123,3387,4286,5643,6929,8231,7905,7803,8726,8332,8244,8777,7820,8979,10438,11114,11409
NUTS3,UKI31,Camden and City of London,D.61/D.62,Social contributions/Social benefits paid,2375,2594,2800,3373,3456,3481,3876,4337,4880,5329,5939,6157,5936,6153,6055,6249,6363,6431,6422,6905,6841,6676
NUTS3,UKI31,Camden and City of London,D.7,"Other current transfers, paid",418,535,506,578,508,520,476,526,538,502,596,561,593,743,697,656,724,740,667,685,651,640
NUTS3,UKI31,Camden and City of London,NA,Secondary uses total,3246,4247,5346,7269,7391,7125,7739,9149,11061,12761,14766,14624,14333,15623,15085,15149,15864,14992,16068,18028,18607,18725
NUTS3,UKI31,Camden and City of London,NA,Balance of secondary income,63,-766,-1929,-3602,-3726,-3184,-3854,-5074,-6840,-8437,-10275,-9906,-9243,-10408,-9958,-9822,-10560,-9798,-11074,-13033,-13661,-13920
NUTS3,UKI31,Camden and City of London,B.6g,Gross Disposable Income,18304,20364,21571,23812,23809,23803,24396,26012,28905,31701,35367,38559,38500,36990,35703,38406,41907,43141,45427,45999,45061,47401
NUTS3,UKI32,Westminster,B.2g,Operating surplus,5297,5254,6081,6281,6450,6324,6262,6368,6568,7083,8184,9085,7338,7554,8061,9236,10734,12002,12529,12443,11657,11181
NUTS3,UKI32,Westminster,B.3g,Mixed income,3856,4052,4082,3966,4015,4120,4087,4094,4171,4239,4667,5363,5510,5907,6193,6539,7190,7408,7348,7827,8223,8544
NUTS3,UKI32,Westminster,D.1,Compensation of employees,11173,12515,15056,18185,18476,17824,18921,21677,24317,27504,31105,30304,30414,31014,29492,29493,31999,32846,36304,41385,42074,41302
NUTS3,UKI32,Westminster,D.4,"Property income, received",5426,6018,5419,6324,5983,5661,5647,6197,7264,8468,10280,12537,11085,9572,9396,10556,11937,13208,14339,12952,12772,14349
NUTS3,UKI32,Westminster,NA,Primary resources total,25753,27839,30638,34756,34923,33929,34918,38336,42320,47294,54236,57290,54347,54047,53141,55824,61860,65464,70519,74606,74726,75375
NUTS3,UKI32,Westminster,D.4,"Property income, paid",1825,1981,1862,2159,1914,1693,1603,2010,2251,2857,3865,4376,1356,953,1273,1131,1164,1598,1273,1293,1052,1333
NUTS3,UKI32,Westminster,NA,Primary uses total,1825,1981,1862,2159,1914,1693,1603,2010,2251,2857,3865,4376,1356,953,1273,1131,1164,1598,1273,1293,1052,1333
NUTS3,UKI32,Westminster,B.5g,Balance of primary incomes,23927,25858,28776,32597,33009,32236,33315,36326,40069,44437,50371,52913,52991,53094,51868,54692,60696,63866,69247,73313,73674,74042
NUTS3,UKI32,Westminster,D.61/D.62,Imputed social contributions/Social benefits received,3089,3055,3055,3221,3329,3509,3535,3753,3874,4059,4194,4504,5047,5233,5282,5363,5108,5012,5124,5058,5193,5107
NUTS3,UKI32,Westminster,D.7,"Other current transfers, received",383,486,459,528,450,441,367,398,393,351,459,403,408,539,528,528,570,585,498,503,492,487
NUTS3,UKI32,Westminster,NA,Secondary resources total,3472,3542,3514,3749,3779,3950,3902,4151,4267,4411,4653,4907,5455,5772,5810,5891,5678,5596,5622,5561,5684,5594
NUTS3,UKI32,Westminster,D.5,"Current taxes on income, wealth etc",2982,3810,4634,5790,5936,5526,5704,6693,7920,9115,10499,10188,10059,10987,10598,10340,11356,11614,13637,16757,17258,16349
NUTS3,UKI32,Westminster,D.61/D.62,Social contributions/Social benefits paid,2993,3119,3356,3892,3980,3989,4363,4862,5346,5769,6410,6593,6386,6641,6545,6707,6897,7219,7294,8061,7509,7757
NUTS3,UKI32,Westminster,D.7,"Other current transfers, paid",456,569,541,617,545,555,504,554,560,520,618,581,616,772,727,682,758,780,699,721,708,683
NUTS3,UKI32,Westminster,NA,Secondary uses total,6431,7499,8532,10298,10461,10071,10571,12109,13826,15403,17527,17361,17060,18399,17870,17729,19011,19613,21630,25538,25475,24790
NUTS3,UKI32,Westminster,NA,Balance of secondary income,-2959,-3957,-5018,-6549,-6682,-6121,-6669,-7958,-9559,-10992,-12874,-12454,-11605,-12628,-12060,-11838,-13333,-14017,-16007,-19977,-19790,-19195
NUTS3,UKI32,Westminster,B.6g,Gross Disposable Income,20968,21901,23758,26048,26327,26116,26646,28368,30510,33444,37497,40459,41385,40467,39808,42855,47363,49849,53240,53336,53884,54847
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,B.2g,Operating surplus,4934,4958,5457,5638,5838,5471,5445,5705,5890,6235,7630,8410,6762,7082,7317,8964,10092,11748,12878,12044,11073,11984
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,B.3g,Mixed income,3069,3262,3242,3168,3213,3275,3282,3357,3489,3543,3985,4542,4626,5060,5212,5718,6235,6628,7022,7367,7662,8631
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,D.1,Compensation of employees,26093,27269,29239,31823,31348,30358,31409,33892,36567,40072,43768,43286,42723,43554,42142,41972,46365,48621,45272,44103,46030,47046
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,D.4,"Property income, received",6099,6873,6108,7195,6789,6426,6497,7263,8671,10150,12282,14892,12868,10848,10598,11925,13964,15441,18046,17994,17196,19399
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,NA,Primary resources total,40196,42363,44046,47824,47187,45530,46632,50217,54617,59999,67665,71130,66979,66543,65269,68579,76657,82438,83219,81509,81960,87060
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,D.4,"Property income, paid",1700,1869,1671,1938,1732,1464,1394,1801,2019,2515,3603,4051,1250,893,1156,1098,1095,1564,1308,1252,1000,1429
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,NA,Primary uses total,1700,1869,1671,1938,1732,1464,1394,1801,2019,2515,3603,4051,1250,893,1156,1098,1095,1564,1308,1252,1000,1429
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,B.5g,Balance of primary incomes,38495,40494,42375,45887,45455,44066,45238,48416,52598,57484,64062,67079,65729,65650,64113,67481,75562,80874,81911,80257,80960,85631
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,D.61/D.62,Imputed social contributions/Social benefits received,2695,2698,2673,2823,2885,3084,3118,3326,3514,3686,3798,4026,4401,4477,4482,4683,4672,4524,4573,4626,4700,4765
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,D.7,"Other current transfers, received",425,539,497,566,483,475,396,431,438,381,493,434,442,587,574,575,630,653,553,555,545,553
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,NA,Secondary resources total,3120,3237,3170,3389,3368,3559,3513,3758,3952,4066,4291,4460,4843,5064,5056,5258,5302,5177,5126,5181,5245,5318
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,D.5,"Current taxes on income, wealth etc",8757,10557,11138,12030,11985,11312,11341,12246,13607,14915,16380,16406,15909,16820,16541,16105,18119,18984,17747,17246,17922,18049
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,D.61/D.62,Social contributions/Social benefits paid,4600,4736,4933,5415,5425,5396,5797,6249,6742,7207,7872,8181,7868,8213,8146,8304,8764,9275,9151,9032,8708,8869
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,D.7,"Other current transfers, paid",494,618,575,650,574,584,526,580,598,541,646,606,644,816,770,725,815,846,751,771,758,745
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,NA,Secondary uses total,13851,15911,16646,18096,17983,17291,17664,19074,20947,22664,24898,25193,24421,25849,25456,25135,27698,29104,27650,27049,27388,27663
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,NA,Balance of secondary income,-10731,-12674,-13476,-14707,-14615,-13732,-14150,-15317,-16995,-18597,-20607,-20733,-19578,-20785,-20401,-19876,-22396,-23927,-22524,-21868,-22143,-22345
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,B.6g,Gross Disposable Income,27764,27820,28899,31180,30840,30334,31088,33100,35603,38887,43455,46346,46151,44865,43712,47605,53166,56946,59387,58389,58817,63286
NUTS3,UKI34,Wandsworth,B.2g,Operating surplus,2706,2795,3330,3602,3845,3879,3906,4012,4239,4334,5257,5428,4188,4376,4378,5212,5708,6472,6765,7173,6569,6395
NUTS3,UKI34,Wandsworth,B.3g,Mixed income,2272,2434,2481,2477,2567,2676,2679,2708,2821,2777,3062,3382,3360,3584,3617,3885,4110,4325,4457,4834,4895,5171
NUTS3,UKI34,Wandsworth,D.1,Compensation of employees,7438,8872,11242,14433,14879,14352,15381,17871,21295,24755,28396,27722,27654,28039,26530,26556,28216,31177,31784,33366,34229,35633
NUTS3,UKI34,Wandsworth,D.4,"Property income, received",3407,3753,3427,4127,4013,3890,3870,4196,4880,5338,6373,7497,6393,5530,5364,5822,6756,7104,7703,7256,7394,8419
NUTS3,UKI34,Wandsworth,NA,Primary resources total,15824,17854,20480,24639,25304,24797,25835,28787,33235,37205,43088,44028,41595,41528,39889,41475,44789,49078,50709,52629,53086,55618
NUTS3,UKI34,Wandsworth,D.4,"Property income, paid",933,1054,1020,1238,1141,1038,1000,1267,1453,1748,2483,2615,774,552,692,638,619,862,687,746,593,762
NUTS3,UKI34,Wandsworth,NA,Primary uses total,933,1054,1020,1238,1141,1038,1000,1267,1453,1748,2483,2615,774,552,692,638,619,862,687,746,593,762
NUTS3,UKI34,Wandsworth,B.5g,Balance of primary incomes,14892,16801,19461,23401,24163,23759,24835,27521,31782,35456,40605,41414,40821,40976,39197,40837,44170,48216,50022,51883,52493,54856
NUTS3,UKI34,Wandsworth,D.61/D.62,Imputed social contributions/Social benefits received,2310,2314,2295,2450,2545,2663,2682,2844,2981,3075,3150,3334,3605,3652,3633,3804,3820,3743,3807,3760,3986,4047
NUTS3,UKI34,Wandsworth,D.7,"Other current transfers, received",352,452,436,517,447,440,370,405,398,362,470,406,403,533,529,533,567,577,509,510,470,481
NUTS3,UKI34,Wandsworth,NA,Secondary resources total,2662,2765,2731,2967,2991,3103,3052,3249,3379,3437,3620,3739,4008,4185,4162,4338,4387,4321,4316,4271,4455,4529
NUTS3,UKI34,Wandsworth,D.5,"Current taxes on income, wealth etc",760,932,1651,2874,3040,2744,2968,3883,5322,6615,8010,7618,7521,8429,8039,7863,8298,9384,9880,10521,10941,11213
NUTS3,UKI34,Wandsworth,D.61/D.62,Social contributions/Social benefits paid,2510,2670,2903,3480,3616,3637,4015,4471,5042,5496,6130,6325,6105,6349,6260,6406,6520,7152,7027,7424,7614,7927
NUTS3,UKI34,Wandsworth,D.7,"Other current transfers, paid",420,530,514,602,538,550,501,554,558,523,621,576,603,759,722,681,749,767,703,723,680,671
NUTS3,UKI34,Wandsworth,NA,Secondary uses total,3690,4131,5068,6955,7194,6930,7484,8908,10922,12634,14760,14519,14229,15537,15022,14950,15567,17303,17611,18669,19236,19811
NUTS3,UKI34,Wandsworth,NA,Balance of secondary income,-1028,-1366,-2337,-3989,-4203,-3827,-4432,-5659,-7542,-9197,-11141,-10779,-10220,-11352,-10860,-10612,-11180,-12983,-13295,-14398,-14781,-15283
NUTS3,UKI34,Wandsworth,B.6g,Gross Disposable Income,13863,15435,17124,19412,19960,19932,20403,21862,24239,26260,29464,30635,30600,29625,28337,30225,32990,35234,36727,37486,37713,39573
NUTS2,UKI4,Inner London - East,B.2g,Operating surplus,1302,1352,1613,1790,2017,2060,2220,2360,2561,2604,2977,3110,2380,2533,2488,2888,3053,3432,3796,3887,3595,3686
NUTS2,UKI4,Inner London - East,B.3g,Mixed income,1152,1276,1366,1450,1556,1677,1752,1795,1950,2058,2171,2278,2326,2592,2637,2845,2962,3109,3302,3497,3617,3918
NUTS2,UKI4,Inner London - East,D.1,Compensation of employees,7951,8464,9403,10703,11057,11006,11753,12776,13938,15510,16571,16247,15988,16623,16813,16881,17462,17957,18579,19433,20503,21620
NUTS2,UKI4,Inner London - East,D.4,"Property income, received",2233,2445,2334,2663,2503,2572,2403,2579,2859,3068,3677,3935,3232,3273,3177,3145,3326,3757,4171,4011,3880,4259
NUTS2,UKI4,Inner London - East,NA,Primary resources total,12638,13537,14716,16606,17133,17316,18127,19510,21307,23240,25395,25570,23925,25020,25116,25758,26803,28255,29849,30828,31595,33483
NUTS2,UKI4,Inner London - East,D.4,"Property income, paid",449,510,494,615,598,551,568,745,878,1050,1406,1498,440,320,393,354,331,457,386,404,325,439
NUTS2,UKI4,Inner London - East,NA,Primary uses total,449,510,494,615,598,551,568,745,878,1050,1406,1498,440,320,393,354,331,457,386,404,325,439
NUTS2,UKI4,Inner London - East,B.5g,Balance of primary incomes,12189,13027,14222,15991,16535,16765,17559,18765,20430,22190,23989,24072,23485,24701,24723,25405,26471,27798,29463,30424,31271,33044
NUTS2,UKI4,Inner London - East,D.61/D.62,Imputed social contributions/Social benefits received,2713,2679,2711,2698,2688,2809,2928,3173,3286,3375,3442,3556,3823,3895,3886,4015,3980,3919,3914,3882,3851,3794
NUTS2,UKI4,Inner London - East,D.7,"Other current transfers, received",227,277,282,329,311,308,266,287,278,262,333,287,275,340,359,391,398,395,369,363,378,397
NUTS2,UKI4,Inner London - East,NA,Secondary resources total,2940,2957,2993,3027,2999,3117,3194,3459,3564,3637,3776,3843,4098,4236,4246,4406,4378,4314,4284,4246,4229,4191
NUTS2,UKI4,Inner London - East,D.5,"Current taxes on income, wealth etc",1683,1964,2210,2639,2693,2576,2733,3060,3444,3839,4167,4017,3861,4049,4102,3906,4034,4172,4359,4584,4913,5180
NUTS2,UKI4,Inner London - East,D.61/D.62,Social contributions/Social benefits paid,2401,2540,2631,2887,2972,3095,3305,3594,3900,4304,4663,4629,4407,4907,4868,4839,4958,5187,5101,5323,5473,5651
NUTS2,UKI4,Inner London - East,D.7,"Other current transfers, paid",286,346,350,402,391,406,385,422,425,408,471,445,463,556,542,529,570,575,555,568,581,580
NUTS2,UKI4,Inner London - East,NA,Secondary uses total,4370,4850,5191,5928,6056,6078,6424,7077,7769,8552,9302,9091,8731,9512,9512,9273,9563,9934,10015,10475,10967,11411
NUTS2,UKI4,Inner London - East,NA,Balance of secondary income,-1430,-1894,-2198,-2901,-3057,-2960,-3229,-3618,-4205,-4915,-5526,-5248,-4633,-5276,-5266,-4867,-5185,-5621,-5732,-6229,-6737,-7220
NUTS2,UKI4,Inner London - East,B.6g,Gross Disposable Income,10759,11133,12024,13090,13478,13804,14329,15147,16225,17275,18463,18824,18852,19425,19457,20537,21287,22178,23731,24194,24533,25824
NUTS3,UKI41,Hackney and Newham,B.2g,Operating surplus,976,1006,1161,1301,1471,1599,1846,1992,2166,2276,2477,2549,1963,1964,1924,2239,2402,2665,2976,3165,2932,3093
NUTS3,UKI41,Hackney and Newham,B.3g,Mixed income,1166,1288,1354,1426,1518,1639,1724,1774,1933,2055,2120,2194,2237,2404,2436,2618,2726,2866,3096,3356,3531,3864
NUTS3,UKI41,Hackney and Newham,D.1,Compensation of employees,2179,2928,3988,5452,5965,6025,6692,7670,8991,10699,11932,11663,11693,12271,12559,12686,12907,13114,13639,14426,15235,16002
NUTS3,UKI41,Hackney and Newham,D.4,"Property income, received",1864,2006,1893,2128,1995,2061,1960,2115,2335,2418,2883,3012,2422,2503,2408,2297,2436,2735,2923,2876,2723,2756
NUTS3,UKI41,Hackney and Newham,NA,Primary resources total,6185,7229,8395,10307,10949,11324,12223,13551,15425,17448,19412,19418,18314,19142,19327,19840,20471,21380,22634,23824,24421,25716
NUTS3,UKI41,Hackney and Newham,D.4,"Property income, paid",336,379,355,447,436,428,473,629,742,918,1170,1228,363,248,304,274,260,355,302,329,265,369
NUTS3,UKI41,Hackney and Newham,NA,Primary uses total,336,379,355,447,436,428,473,629,742,918,1170,1228,363,248,304,274,260,355,302,329,265,369
NUTS3,UKI41,Hackney and Newham,B.5g,Balance of primary incomes,5849,6850,8040,9860,10513,10896,11750,12922,14683,16530,18242,18190,17952,18894,19023,19566,20210,21025,22331,23495,24157,25347
NUTS3,UKI41,Hackney and Newham,D.61/D.62,Imputed social contributions/Social benefits received,2684,2641,2606,2604,2656,2751,2870,3157,3288,3345,3397,3551,3811,3828,3777,3862,3879,3829,3834,3790,3709,3595
NUTS3,UKI41,Hackney and Newham,D.7,"Other current transfers, received",203,249,256,301,285,282,245,266,257,249,317,272,258,313,333,369,372,370,350,344,352,373
NUTS3,UKI41,Hackney and Newham,NA,Secondary resources total,2887,2890,2863,2905,2941,3032,3114,3423,3545,3594,3714,3824,4069,4141,4110,4230,4251,4199,4184,4135,4061,3968
NUTS3,UKI41,Hackney and Newham,D.5,"Current taxes on income, wealth etc",330,498,796,1266,1334,1272,1436,1752,2135,2562,2921,2730,2664,2858,2922,2772,2444,2368,2550,2739,2994,3166
NUTS3,UKI41,Hackney and Newham,D.61/D.62,Social contributions/Social benefits paid,1802,1961,2039,2302,2393,2531,2733,3009,3324,3744,4129,4086,3911,4393,4363,4319,4298,4464,4356,4567,4534,4485
NUTS3,UKI41,Hackney and Newham,D.7,"Other current transfers, paid",256,311,318,368,359,373,356,394,395,387,446,421,437,521,509,498,536,541,527,540,546,546
NUTS3,UKI41,Hackney and Newham,NA,Secondary uses total,2389,2770,3154,3936,4087,4175,4525,5155,5854,6693,7495,7237,7012,7772,7794,7589,7279,7373,7434,7846,8074,8197
NUTS3,UKI41,Hackney and Newham,NA,Balance of secondary income,498,120,-291,-1031,-1146,-1143,-1411,-1732,-2310,-3099,-3781,-3413,-2943,-3631,-3684,-3358,-3028,-3175,-3250,-3711,-4013,-4230
NUTS3,UKI41,Hackney and Newham,B.6g,Gross Disposable Income,6347,6969,7749,8829,9367,9753,10339,11190,12373,13431,14461,14777,15009,15263,15339,16207,17182,17851,19082,19784,20144,21118
NUTS3,UKI42,Tower Hamlets,B.2g,Operating surplus,1090,1212,1442,1668,1940,1979,2084,2314,2650,2645,3056,3221,2446,2527,2462,2769,2833,3139,3342,3478,3295,3339
NUTS3,UKI42,Tower Hamlets,B.3g,Mixed income,865,970,1031,1105,1198,1275,1322,1376,1529,1598,1700,1796,1807,2003,2023,2164,2223,2317,2398,2559,2672,2865
NUTS3,UKI42,Tower Hamlets,D.1,Compensation of employees,12677,13090,13831,15019,15373,15057,15804,16737,17878,19408,20289,20013,19567,19979,20051,19973,20736,21313,22395,23731,23928,25486
NUTS3,UKI42,Tower Hamlets,D.4,"Property income, received",2301,2514,2381,2704,2533,2592,2390,2514,2783,2979,3549,3813,3180,3257,3137,3102,3259,3626,4058,4070,3868,4356
NUTS3,UKI42,Tower Hamlets,NA,Primary resources total,16932,17786,18685,20497,21044,20903,21600,22941,24840,26630,28594,28843,27000,27765,27673,28008,29051,30394,32193,33839,33763,36046
NUTS3,UKI42,Tower Hamlets,D.4,"Property income, paid",376,457,442,573,576,530,533,730,908,1067,1443,1552,452,319,389,339,307,418,339,362,297,398
NUTS3,UKI42,Tower Hamlets,NA,Primary uses total,376,457,442,573,576,530,533,730,908,1067,1443,1552,452,319,389,339,307,418,339,362,297,398
NUTS3,UKI42,Tower Hamlets,B.5g,Balance of primary incomes,16557,17329,18243,19924,20468,20373,21067,22210,23931,25563,27150,27291,26548,27447,27284,27669,28744,29976,31854,33477,33466,35648
NUTS3,UKI42,Tower Hamlets,D.61/D.62,Imputed social contributions/Social benefits received,2620,2624,2692,2716,2733,2851,2996,3178,3271,3309,3338,3464,3715,3766,3758,3849,3813,3618,3526,3505,3470,3407
NUTS3,UKI42,Tower Hamlets,D.7,"Other current transfers, received",229,280,276,319,297,294,252,272,269,249,318,274,263,321,335,367,372,371,343,338,355,372
NUTS3,UKI42,Tower Hamlets,NA,Secondary resources total,2849,2904,2968,3035,3030,3145,3248,3450,3540,3559,3655,3738,3978,4087,4093,4216,4185,3989,3869,3843,3825,3779
NUTS3,UKI42,Tower Hamlets,D.5,"Current taxes on income, wealth etc",2978,3391,3561,3961,4031,3806,3927,4230,4645,5026,5312,5218,4984,5095,5129,4869,5195,5515,5996,6457,6605,6938
NUTS3,UKI42,Tower Hamlets,D.61/D.62,Social contributions/Social benefits paid,3059,3185,3242,3478,3555,3639,3845,4131,4441,4840,5166,5148,4889,5365,5312,5267,5412,5607,5599,5844,5586,5989
NUTS3,UKI42,Tower Hamlets,D.7,"Other current transfers, paid",284,344,341,390,375,389,369,405,414,394,455,432,451,536,518,504,543,550,527,540,555,552
NUTS3,UKI42,Tower Hamlets,NA,Secondary uses total,6321,6920,7143,7828,7961,7835,8141,8766,9500,10260,10932,10798,10324,10996,10960,10640,11150,11672,12123,12842,12747,13479
NUTS3,UKI42,Tower Hamlets,NA,Balance of secondary income,-3472,-4016,-4175,-4793,-4931,-4690,-4893,-5316,-5960,-6702,-7277,-7060,-6346,-6909,-6866,-6424,-6965,-7683,-8254,-8999,-8922,-9699
NUTS3,UKI42,Tower Hamlets,B.6g,Gross Disposable Income,13085,13313,14068,15130,15537,15683,16174,16895,17972,18862,19873,20231,20202,20538,20417,21245,21779,22294,23600,24478,24544,25949
NUTS3,UKI43,Haringey and Islington,B.2g,Operating surplus,1717,1781,2156,2392,2590,2611,2734,2838,3026,3073,3624,3807,2904,3060,3191,3736,3965,4454,4859,4740,4400,4428
NUTS3,UKI43,Haringey and Islington,B.3g,Mixed income,1498,1665,1810,1930,2062,2216,2292,2333,2516,2658,2827,2964,3028,3330,3455,3742,3907,4052,4281,4419,4552,4900
NUTS3,UKI43,Haringey and Islington,D.1,Compensation of employees,12609,12920,13926,15127,15485,15358,16087,17152,18150,19648,20695,20307,19840,20522,20655,20675,21172,21754,21482,21370,22462,23869
NUTS3,UKI43,Haringey and Islington,D.4,"Property income, received",2820,3145,3052,3536,3332,3387,3118,3366,3751,4170,5022,5453,4504,4430,4318,4399,4647,5276,5914,5496,5273,5993
NUTS3,UKI43,Haringey and Islington,NA,Primary resources total,18644,19511,20944,22985,23468,23572,24232,25689,27442,29549,32167,32531,30275,31342,31619,32552,33692,35536,36535,36024,36687,39191
NUTS3,UKI43,Haringey and Islington,D.4,"Property income, paid",592,671,660,822,768,699,700,896,1037,1240,1711,1834,537,386,504,457,430,593,493,493,397,528
NUTS3,UKI43,Haringey and Islington,NA,Primary uses total,592,671,660,822,768,699,700,896,1037,1240,1711,1834,537,386,504,457,430,593,493,493,397,528
NUTS3,UKI43,Haringey and Islington,B.5g,Balance of primary incomes,18053,18840,20284,22163,22699,22873,23532,24793,26405,28309,30456,30697,29739,30956,31115,32095,33262,34943,36042,35532,36290,38663
NUTS3,UKI43,Haringey and Islington,D.61/D.62,Imputed social contributions/Social benefits received,3036,3007,3110,3090,3052,3176,3278,3555,3680,3827,3904,3957,4228,4314,4296,4455,4343,4296,4355,4336,4321,4269
NUTS3,UKI43,Haringey and Islington,D.7,"Other current transfers, received",252,307,310,360,338,336,288,309,302,277,352,303,293,366,382,410,420,417,383,375,395,413
NUTS3,UKI43,Haringey and Islington,NA,Secondary resources total,3288,3314,3420,3450,3390,3512,3566,3864,3982,4103,4256,4261,4521,4680,4678,4865,4762,4713,4738,4711,4716,4682
NUTS3,UKI43,Haringey and Islington,D.5,"Current taxes on income, wealth etc",2994,3386,3626,4020,4092,3913,4045,4381,4761,5140,5476,5355,5119,5297,5343,5105,5575,5840,5658,5516,5845,6152
NUTS3,UKI43,Haringey and Islington,D.61/D.62,Social contributions/Social benefits paid,2826,2950,3085,3341,3442,3557,3766,4066,4361,4759,5117,5090,4834,5346,5301,5283,5451,5728,5543,5653,5666,6097
NUTS3,UKI43,Haringey and Islington,D.7,"Other current transfers, paid",314,379,381,437,423,438,411,449,453,428,495,465,486,586,570,553,598,603,575,586,604,602
NUTS3,UKI43,Haringey and Islington,NA,Secondary uses total,6135,6715,7092,7798,7956,7908,8221,8896,9575,10327,11087,10909,10439,11229,11214,10941,11624,12172,11776,11755,12116,12851
NUTS3,UKI43,Haringey and Islington,NA,Balance of secondary income,-2846,-3401,-3671,-4348,-4566,-4397,-4656,-5032,-5593,-6224,-6831,-6649,-5918,-6549,-6536,-6076,-6862,-7459,-7038,-7044,-7400,-8169
NUTS3,UKI43,Haringey and Islington,B.6g,Gross Disposable Income,15207,15439,16612,17815,18133,18476,18876,19761,20812,22086,23625,24049,23820,24407,24580,26019,26400,27484,29004,28487,28890,30494
NUTS3,UKI44,Lewisham and Southwark,B.2g,Operating surplus,1251,1281,1499,1623,1902,1945,2110,2279,2465,2482,2772,2872,2233,2547,2358,2738,2879,3228,3677,3786,3519,3609
NUTS3,UKI44,Lewisham and Southwark,B.3g,Mixed income,995,1099,1172,1239,1346,1465,1542,1590,1723,1813,1909,2008,2072,2412,2414,2607,2715,2863,3067,3267,3375,3661
NUTS3,UKI44,Lewisham and Southwark,D.1,Compensation of employees,7164,7724,8651,9971,10252,10252,11046,12088,13253,14776,15823,15481,15215,15970,16195,16284,17135,17871,18141,18910,20293,21053
NUTS3,UKI44,Lewisham and Southwark,D.4,"Property income, received",2067,2253,2147,2444,2304,2388,2243,2398,2649,2811,3372,3605,2974,3065,2988,2941,3096,3508,3877,3799,3758,4184
NUTS3,UKI44,Lewisham and Southwark,NA,Primary resources total,11477,12358,13468,15278,15803,16049,16941,18355,20091,21883,23877,23966,22494,23995,23954,24570,25824,27470,28762,29762,30945,32507
NUTS3,UKI44,Lewisham and Southwark,D.4,"Property income, paid",431,483,459,558,564,521,540,719,845,1001,1309,1384,413,321,372,335,312,430,373,394,318,430
NUTS3,UKI44,Lewisham and Southwark,NA,Primary uses total,431,483,459,558,564,521,540,719,845,1001,1309,1384,413,321,372,335,312,430,373,394,318,430
NUTS3,UKI44,Lewisham and Southwark,B.5g,Balance of primary incomes,11046,11875,13009,14720,15239,15528,16400,17636,19246,20882,22568,22582,22081,23674,23582,24235,25512,27040,28388,29369,30627,32077
NUTS3,UKI44,Lewisham and Southwark,D.61/D.62,Imputed social contributions/Social benefits received,2596,2569,2592,2565,2529,2665,2789,3000,3096,3197,3287,3407,3685,3804,3841,4005,3972,3957,3932,3855,3869,3869
NUTS3,UKI44,Lewisham and Southwark,D.7,"Other current transfers, received",228,278,284,333,316,315,273,294,282,266,339,293,281,353,375,406,415,409,384,378,393,412
NUTS3,UKI44,Lewisham and Southwark,NA,Secondary resources total,2825,2848,2876,2898,2845,2980,3063,3294,3379,3463,3626,3700,3967,4156,4216,4411,4387,4366,4316,4233,4262,4281
NUTS3,UKI44,Lewisham and Southwark,D.5,"Current taxes on income, wealth etc",1305,1560,1813,2261,2293,2208,2375,2707,3083,3466,3790,3623,3478,3703,3766,3584,3791,3993,4078,4276,4702,4923
NUTS3,UKI44,Lewisham and Southwark,D.61/D.62,Social contributions/Social benefits paid,2316,2462,2545,2804,2880,3009,3224,3515,3819,4217,4573,4532,4312,4828,4795,4770,4929,5194,5064,5299,5658,5795
NUTS3,UKI44,Lewisham and Southwark,D.7,"Other current transfers, paid",289,348,354,408,398,415,394,431,431,415,479,452,471,569,558,544,587,589,570,583,597,595
